time, ALLSE, ALLKE, ALLWK, ALLFD
0.000000000000000000e+00, 1.400211572647094727e+00, 0.000000000000000000e+00, 6.356459140777587891e+00, 5.195247530937194824e-01
3.086651759076630697e-06, 9.800621271133422852e-01, 2.419743388891220093e-01, 6.356459140777587891e+00, 5.381559729576110840e-01
6.059637598809786141e-06, 9.767042398452758789e-01, 1.950296163558959961e-01, 6.356459140777587891e+00, 5.413414239883422852e-01
9.033223250298760831e-06, 9.633973240852355957e-01, 2.035349756479263306e-01, 6.356459140777587891e+00, 5.489791631698608398e-01
1.200691713165724650e-05, 1.406521201133728027e+00, 3.119669556617736816e-01, 7.331559658050537109e+00, 5.550813078880310059e-01
1.509141202404862270e-05, 5.190967559814453125e+00, 1.138182997703552246e+00, 1.448483371734619141e+01, 6.162244677543640137e-01
1.805958709155675024e-05, 1.487337493896484375e+01, 3.770330429077148438e+00, 3.071524810791015625e+01, 7.626076936721801758e-01
2.102489816024899483e-05, 3.071023750305175781e+01, 9.882316589355468750e+00, 5.749827194213867188e+01, 1.031249403953552246e+00
2.410368324490264058e-05, 5.078893661499023438e+01, 2.354348373413085938e+01, 9.637531280517578125e+01, 1.604038000106811523e+00
2.706935447349678725e-05, 6.930891418457031250e+01, 4.560520172119140625e+01, 1.413923187255859375e+02, 2.689720153808593750e+00
3.003063102369196713e-05, 8.501026916503906250e+01, 7.549804687500000000e+01, 1.904717254638671875e+02, 4.573253154754638672e+00
3.309710518806241453e-05, 9.648983764648437500e+01, 1.115917587280273438e+02, 2.421284027099609375e+02, 8.385277748107910156e+00
3.604317316785454750e-05, 1.034048004150390625e+02, 1.473908691406250000e+02, 2.893943481445312500e+02, 1.442429828643798828e+01
3.909686711267568171e-05, 1.067809829711914062e+02, 1.828620300292968750e+02, 3.345211486816406250e+02, 2.216616249084472656e+01
4.203387288725934923e-05, 1.090998229980468750e+02, 2.072118377685546875e+02, 3.715190734863281250e+02, 2.836389923095703125e+01
4.508155689109116793e-05, 1.334985351562500000e+02, 2.109137725830078125e+02, 4.066854553222656250e+02, 3.389734649658203125e+01
4.801507748197764158e-05, 1.680132293701171875e+02, 1.997541198730468750e+02, 4.363937072753906250e+02, 3.818967437744140625e+01
5.105950185679830611e-05, 1.940041809082031250e+02, 1.959108886718750000e+02, 4.631966552734375000e+02, 4.154159927368164062e+01
5.409964433056302369e-05, 2.017540130615234375e+02, 2.116467132568359375e+02, 4.889179382324218750e+02, 4.408295440673828125e+01
5.702607813873328269e-05, 2.046769256591796875e+02, 2.338013305664062500e+02, 5.166710205078125000e+02, 4.687515258789062500e+01
6.006462353980168700e-05, 2.142281951904296875e+02, 2.526315765380859375e+02, 5.529761352539062500e+02, 5.130766296386718750e+01
6.310304161161184311e-05, 2.326058197021484375e+02, 2.711095886230468750e+02, 5.988297119140625000e+02, 5.562899398803710938e+01
6.603052315767854452e-05, 2.532923278808593750e+02, 2.925285949707031250e+02, 6.509116821289062500e+02, 6.039838409423828125e+01
6.907396891620010138e-05, 2.709526672363281250e+02, 3.246250915527343750e+02, 7.090228881835937500e+02, 6.666405487060546875e+01
7.200734398793429136e-05, 2.839754638671875000e+02, 3.600243530273437500e+02, 7.641717529296875000e+02, 7.349982452392578125e+01
7.505229586968198419e-05, 2.941728820800781250e+02, 3.957549133300781250e+02, 8.186979370117187500e+02, 8.180108642578125000e+01
