time, ALLSE, ALLKE, ALLWK, ALLFD
0.000000000000000000e+00, 9.186601042747497559e-01, 0.000000000000000000e+00, 2.985278606414794922e+00, 2.522632479667663574e-01
3.088217454205732793e-06, 7.553271651268005371e-01, 9.792592376470565796e-02, 2.985278606414794922e+00, 2.586497664451599121e-01
6.062341071810806170e-06, 7.314582467079162598e-01, 9.818013757467269897e-02, 2.985278606414794922e+00, 2.597717940807342529e-01
9.036568371811881661e-06, 7.150877118110656738e-01, 1.067348942160606384e-01, 2.985278606414794922e+00, 2.622564136981964111e-01
1.210289337905123830e-05, 1.244324922561645508e+00, 2.774865627288818359e-01, 4.817163944244384766e+00, 2.637851238250732422e-01
1.501335100329015404e-05, 6.194262981414794922e+00, 1.869927287101745605e+00, 1.407357788085937500e+01, 2.662265300750732422e-01
1.801084545149933547e-05, 1.753120231628417969e+01, 5.970180988311767578e+00, 3.275818252563476562e+01, 2.871645092964172363e-01
2.100387973769102246e-05, 3.452140045166015625e+01, 1.292683792114257812e+01, 5.981933975219726562e+01, 4.738912284374237061e-01
2.410569686617236584e-05, 5.359249496459960938e+01, 2.465558624267578125e+01, 9.507515716552734375e+01, 9.597130417823791504e-01
2.709480395424179733e-05, 7.393917083740234375e+01, 4.078541183471679688e+01, 1.347592163085937500e+02, 1.677989125251770020e+00
3.008589919772930443e-05, 9.542595672607421875e+01, 5.951236724853515625e+01, 1.778300170898437500e+02, 2.700993299484252930e+00
3.308020677650347352e-05, 1.191386871337890625e+02, 7.864212036132812500e+01, 2.231086730957031250e+02, 4.005265712738037109e+00
3.608021143008954823e-05, 1.450599975585937500e+02, 9.697502136230468750e+01, 2.697857360839843750e+02, 5.411719322204589844e+00
3.908736107405275106e-05, 1.723047790527343750e+02, 1.145325622558593750e+02, 3.169606018066406250e+02, 6.915312767028808594e+00
4.210041151964105666e-05, 1.996912384033203125e+02, 1.329951324462890625e+02, 3.652127685546875000e+02, 8.298059463500976562e+00
4.500728027778677642e-05, 2.255581817626953125e+02, 1.521425018310546875e+02, 4.126699218750000000e+02, 9.691215515136718750e+00
4.803148476639762521e-05, 2.525269165039062500e+02, 1.730087585449218750e+02, 4.637388610839843750e+02, 1.130595016479492188e+01
5.106167736812494695e-05, 2.824886169433593750e+02, 1.925743408203125000e+02, 5.171405029296875000e+02, 1.330213737487792969e+01
5.409707591752521694e-05, 3.172041015625000000e+02, 2.096647033691406250e+02, 5.736007690429687500e+02, 1.587013626098632812e+01
5.702324051526375115e-05, 3.547746582031250000e+02, 2.245837860107421875e+02, 6.307620849609375000e+02, 1.877750015258789062e+01
6.006360490573570132e-05, 3.959403076171875000e+02, 2.404314727783203125e+02, 6.918477783203125000e+02, 2.192708396911621094e+01
6.310502794804051518e-05, 4.357173156738281250e+02, 2.580592041015625000e+02, 7.527568969726562500e+02, 2.490040779113769531e+01
6.603983638342469931e-05, 4.707207031250000000e+02, 2.777936401367187500e+02, 8.110630493164062500e+02, 2.782504081726074219e+01
6.909280637046322227e-05, 5.043924255371093750e+02, 3.005005798339843750e+02, 8.715104370117187500e+02, 3.117290687561035156e+01
7.203584391390904784e-05, 5.357233886718750000e+02, 3.236369934082031250e+02, 9.296099243164062500e+02, 3.464621353149414062e+01
