RF3, RF2, RF1, U1, U3, U2, V1, V2, V3, time
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.516348846256732941e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.258174393115041312e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.803889989852905273e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.401945039309794083e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -7.320272922515869141e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.660136371763655916e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.608051180839538574e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.804025593330152333e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.212468221783638000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.062341071810806170e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.441251337528228760e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 7.206256213976303115e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.692917644977569580e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 8.464588063361588866e-06
-3.822832345962524414e+00, 2.133797481656074524e-02, 5.405404139310121536e-03, 0.000000000000000000e+00, -1.921713054180145264e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 9.608565051166806370e-06
-4.225201797485351562e+01, -2.029099017381668091e-01, -2.990802228450775146e-01, 0.000000000000000000e+00, -2.172035872936248779e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.086017891793744639e-05
-8.948660278320312500e+01, -1.982820272445678711e+00, -4.515798687934875488e-01, 0.000000000000000000e+00, -2.420578598976135254e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.210289337905123830e-05
-1.452234344482421875e+02, 1.743439912796020508e+00, 4.153420031070709229e-02, 0.000000000000000000e+00, -2.645219266414642334e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.322609659837326035e-05
-1.905227050781250000e+02, 6.238612532615661621e-01, 9.935346245765686035e-01, 0.000000000000000000e+00, -2.891159951686859131e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.445579891878878698e-05
-2.596405334472656250e+02, 8.470809459686279297e-02, 2.717784166336059570e+00, 0.000000000000000000e+00, -3.136219084262847900e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.568109473737422377e-05
-3.407532348632812500e+02, -4.444203376770019531e-01, 4.002213478088378906e+00, 0.000000000000000000e+00, -3.380456566810607910e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.690228236839175224e-05
-3.837024536132812500e+02, 4.590251445770263672e+00, 2.602810859680175781e+00, 0.000000000000000000e+00, -3.602169156074523926e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.801084545149933547e-05
-4.404398193359375000e+02, 8.945761680603027344e+00, 2.751326322555541992e+00, 0.000000000000000000e+00, -3.845961093902587891e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.922980482049752027e-05
-4.917988586425781250e+02, 1.185716533660888672e+01, 2.066884756088256836e+00, 0.000000000000000000e+00, -4.089908599853515625e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.044954453594982624e-05
-5.398928222656250000e+02, 1.613582801818847656e+01, -4.301197826862335205e-01, 0.000000000000000000e+00, -4.333789050579071045e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.166894591937307268e-05
-5.795191650390625000e+02, 2.340518760681152344e+01, -8.431627750396728516e-01, 0.000000000000000000e+00, -4.577651619911193848e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.288825817231554538e-05
-6.222361450195312500e+02, 3.150388717651367188e+01, 2.304039716720581055e+00, 0.000000000000000000e+00, -4.821139276027679443e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.410569686617236584e-05
-6.581102905273437500e+02, 3.939119338989257812e+01, 3.828919649124145508e+00, 0.000000000000000000e+00, -5.042392611503601074e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.521196438465267420e-05
-6.841616210937500000e+02, 5.205849456787109375e+01, 1.278896450996398926e+00, 0.000000000000000000e+00, -5.286049842834472656e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.643024890858214349e-05
-7.035551147460937500e+02, 6.353506469726562500e+01, 1.089874505996704102e+00, 0.000000000000000000e+00, -5.529734492301940918e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.764867167570628226e-05
-7.242402954101562500e+02, 7.574176788330078125e+01, 2.939982175827026367e+00, 0.000000000000000000e+00, -5.773414373397827148e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.886707261495757848e-05
-7.427017822265625000e+02, 8.667595672607421875e+01, 3.292494297027587891e+00, 0.000000000000000000e+00, -6.017179489135742188e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.008589919772930443e-05
-7.544575805664062500e+02, 9.664360046386718750e+01, 4.459550857543945312e+00, 0.000000000000000000e+00, -6.261039972305297852e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.130520053673535585e-05
-7.629298095703125000e+02, 1.044365386962890625e+02, 4.458304882049560547e+00, 0.000000000000000000e+00, -6.482875943183898926e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.241438025725074112e-05
-7.707610473632812500e+02, 1.108543624877929688e+02, 3.550238132476806641e+00, 0.000000000000000000e+00, -6.727060079574584961e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.363530049682594836e-05
-7.800350341796875000e+02, 1.206553955078125000e+02, 2.111799240112304688e+00, 0.000000000000000000e+00, -6.971431374549865723e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.485715569695457816e-05
-7.829883422851562500e+02, 1.253295440673828125e+02, 1.260155320167541504e+00, 0.000000000000000000e+00, -7.216041684150695801e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.608021143008954823e-05
-7.828828125000000000e+02, 1.302762298583984375e+02, 1.165151357650756836e+00, 0.000000000000000000e+00, -7.460890412330627441e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.730445314431563020e-05
-7.858751831054687500e+02, 1.324526672363281250e+02, 4.662530124187469482e-01, 0.000000000000000000e+00, -7.683704495429992676e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.841852230834774673e-05
-7.962371826171875000e+02, 1.333106994628906250e+02, -4.495010375976562500e-01, 0.000000000000000000e+00, -7.929000854492187500e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.964500137954019010e-05
-8.019663085937500000e+02, 1.322974243164062500e+02, -1.877403855323791504e-01, 0.000000000000000000e+00, -8.174452185630798340e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.087225897819735110e-05
-8.083344726562500000e+02, 1.313992156982421875e+02, -1.424221396446228027e-01, 0.000000000000000000e+00, -8.420081734657287598e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.210041151964105666e-05
-8.132775878906250000e+02, 1.303422088623046875e+02, 1.008422017097473145e+00, 0.000000000000000000e+00, -8.643552660942077637e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.321776214055716991e-05
