time, ALLSE, ALLKE, ALLWK, ALLFD
0.000000000000000000e+00, 9.405751824378967285e-01, 0.000000000000000000e+00, 1.253050565719604492e+00, 1.048525348305702209e-01
3.087951199631788768e-06, 7.901685237884521484e-01, 9.546486288309097290e-02, 1.253050565719604492e+00, 1.109328716993331909e-01
6.061445674276910722e-06, 7.676352858543395996e-01, 1.012498289346694946e-01, 1.253050565719604492e+00, 1.140936389565467834e-01
9.034843969857320189e-06, 7.596503496170043945e-01, 1.057007461786270142e-01, 1.275147914886474609e+00, 1.181726977229118347e-01
1.200838778459001333e-05, 2.493657112121582031e+00, 7.065777182579040527e-01, 5.221436500549316406e+00, 1.197679936885833740e-01
1.509631056251237169e-05, 9.201796531677246094e+00, 2.859705686569213867e+00, 1.761264801025390625e+01, 1.245299279689788818e-01
1.806241562007926404e-05, 2.239794921875000000e+01, 7.480510711669921875e+00, 3.839392852783203125e+01, 1.897571980953216553e-01
2.101954305544495583e-05, 3.973901748657226562e+01, 1.554334545135498047e+01, 6.703372955322265625e+01, 4.357639849185943604e-01
2.408369255135767162e-05, 5.995711135864257812e+01, 2.885890197753906250e+01, 1.038634033203125000e+02, 9.821666479110717773e-01
2.702768142626155168e-05, 7.959939575195312500e+01, 4.505625534057617188e+01, 1.434000091552734375e+02, 1.717844963073730469e+00
3.007919804076664150e-05, 1.016656723022460938e+02, 6.423538208007812500e+01, 1.875135498046875000e+02, 2.592768430709838867e+00
3.301400283817201853e-05, 1.247487487792968750e+02, 8.233193969726562500e+01, 2.314537353515625000e+02, 3.583866119384765625e+00
3.605955862440168858e-05, 1.515828704833984375e+02, 9.985245513916015625e+01, 2.783578491210937500e+02, 4.666059970855712891e+00
3.910421946784481406e-05, 1.799042510986328125e+02, 1.164534301757812500e+02, 3.260743408203125000e+02, 5.792018890380859375e+00
4.203549906378611922e-05, 2.086074218750000000e+02, 1.326656188964843750e+02, 3.729931640625000000e+02, 6.846653938293457031e+00
4.507861012825742364e-05, 2.383973693847656250e+02, 1.500027160644531250e+02, 4.226874084472656250e+02, 8.059914588928222656e+00
4.800715396413579583e-05, 2.679372558593750000e+02, 1.675707855224609375e+02, 4.721755981445312500e+02, 9.331417083740234375e+00
5.104522642795927823e-05, 2.999092102050781250e+02, 1.861573333740234375e+02, 5.259329223632812500e+02, 1.074099731445312500e+01
5.407859498518519104e-05, 3.352100219726562500e+02, 2.047626037597656250e+02, 5.829871215820312500e+02, 1.237259292602539062e+01
5.710816913051530719e-05, 3.730307617187500000e+02, 2.234890899658203125e+02, 6.430849609375000000e+02, 1.428932285308837891e+01
6.002386726322583854e-05, 4.107798461914062500e+02, 2.420278015136718750e+02, 7.030267333984375000e+02, 1.641040039062500000e+01
6.305192073341459036e-05, 4.506689147949218750e+02, 2.621405029296875000e+02, 7.665457153320312500e+02, 1.869062805175781250e+01
6.608094554394483566e-05, 4.897014770507812500e+02, 2.841608581542968750e+02, 8.308073120117187500e+02, 2.102303314208984375e+01
6.910783849889412522e-05, 5.267591552734375000e+02, 3.086954345703125000e+02, 8.955876464843750000e+02, 2.337281036376953125e+01
7.202129199868068099e-05, 5.605220336914062500e+02, 3.343353576660156250e+02, 9.584013671875000000e+02, 2.568989372253417969e+01
7.504817767767235637e-05, 5.943789672851562500e+02, 3.630337829589843750e+02, 1.024369506835937500e+03, 2.811171150207519531e+01
7.807744987076148391e-05, 6.274625244140625000e+02, 3.937624206542968750e+02, 1.091354125976562500e+03, 3.043862915039062500e+01
8.110702765407040715e-05, 6.598703002929687500e+02, 4.262768249511718750e+02, 1.159475830078125000e+03, 3.282836914062500000e+01
8.402518142247572541e-05, 6.895839233398437500e+02, 4.596494140625000000e+02, 1.226375366210937500e+03, 3.540562057495117188e+01
8.705532673047855496e-05, 7.200625610351562500e+02, 4.961715698242187500e+02, 1.297863647460937500e+03, 3.840043640136718750e+01
9.008491906570270658e-05, 7.507980346679687500e+02, 5.335576171875000000e+02, 1.371308227539062500e+03, 4.158647537231445312e+01
9.300073725171387196e-05, 7.821458740234375000e+02, 5.707269897460937500e+02, 1.444693725585937500e+03, 4.456122589111328125e+01
9.602744103176519275e-05, 8.172938842773437500e+02, 6.108437500000000000e+02, 1.523737304687500000e+03, 4.731829452514648438e+01
9.905389742925763130e-05, 8.525734863281250000e+02, 6.532872314453125000e+02, 1.605479980468750000e+03, 5.016559219360351562e+01
1.020794079522602260e-04, 8.871483764648437500e+02, 6.985313720703125000e+02, 1.689332275390625000e+03, 5.327500915527343750e+01
1.051051804097369313e-04, 9.207843627929687500e+02, 7.454807128906250000e+02, 1.773941894531250000e+03, 5.683188629150390625e+01
1.080185975297354162e-04, 9.523372802734375000e+02, 7.911929931640625000e+02, 1.855331909179687500e+03, 6.066234588623046875e+01
1.110435332520864904e-04, 9.849366455078125000e+02, 8.379810180664062500e+02, 1.939120971679687500e+03, 6.481105041503906250e+01
1.140687672886997461e-04, 1.018260314941406250e+03, 8.831090698242187500e+02, 2.021701660156250000e+03, 6.921116638183593750e+01
1.170962568721733987e-04, 1.052567138671875000e+03, 9.260021362304687500e+02, 2.102423828125000000e+03, 7.382407379150390625e+01
1.200139522552490234e-04, 1.084427978515625000e+03, 9.650364379882812500e+02, 2.177843261718750000e+03, 7.845941162109375000e+01
1.230460911756381392e-04, 1.117292236328125000e+03, 1.002651184082031250e+03, 2.253744140625000000e+03, 8.359875488281250000e+01
1.260791468666866422e-04, 1.151503417968750000e+03, 1.037223022460937500e+03, 2.327571777343750000e+03, 8.853926086425781250e+01
