RF3, RF2, RF1, U1, U3, U2, V1, V2, V3, time
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.516167610883712769e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.258083784705377184e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.803508147597312927e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.401754045422421768e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -7.319631427526473999e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.659815547507605515e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.606792032718658447e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.803395768249174580e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.212289109826087952e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.061445674276910722e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.441005170345306396e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 7.205026122392155230e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.692606508731842041e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 8.463032827421557158e-06
-2.886486816406250000e+01, 1.068334728479385376e-01, -3.245635032653808594e-01, 0.000000000000000000e+00, -1.921330839395523071e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 9.606654202798381448e-06
-7.708120727539062500e+01, 4.717437028884887695e-01, -2.429438978433609009e-01, 0.000000000000000000e+00, -2.172933518886566162e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.086466727429069579e-05
-1.374634857177734375e+02, 2.214449405670166016e+00, -3.564594268798828125e+00, 0.000000000000000000e+00, -2.401677519083023071e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.200838778459001333e-05
-1.745967864990234375e+02, 2.343566656112670898e+00, -3.738164663314819336e+00, 0.000000000000000000e+00, -2.653282880783081055e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.326641358900815248e-05
-2.372971496582031250e+02, -2.659462690353393555e+00, -1.871669173240661621e+00, 0.000000000000000000e+00, -2.882021665573120117e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.441010863345582038e-05
-2.998366088867187500e+02, -4.286192893981933594e+00, 5.277867913246154785e-01, 0.000000000000000000e+00, -3.133573532104492188e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.566786886542104185e-05
-3.641552429199218750e+02, 1.962030410766601562e+00, -1.310373663902282715e+00, 0.000000000000000000e+00, -3.361883759498596191e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.680941750237252563e-05
-4.228617248535156250e+02, 5.928345203399658203e+00, -1.417896866798400879e+00, 0.000000000000000000e+00, -3.612483143806457520e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.806241562007926404e-05
-4.678955688476562500e+02, 1.137341976165771484e+01, -2.907091140747070312e+00, 0.000000000000000000e+00, -3.840076029300689697e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.920038084790576249e-05
-5.243305664062500000e+02, 1.824363517761230469e+01, -7.971639633178710938e+00, 0.000000000000000000e+00, -4.090279042720794678e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.045139444817323238e-05
-5.791376342773437500e+02, 2.747001075744628906e+01, -6.033211231231689453e+00, 0.000000000000000000e+00, -4.340245723724365234e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.170122752431780100e-05
-6.132709350585937500e+02, 3.530842208862304688e+01, -3.748432397842407227e+00, 0.000000000000000000e+00, -4.567297995090484619e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.283648973389063030e-05
-6.429351806640625000e+02, 4.295893478393554688e+01, -5.346592903137207031e+00, 0.000000000000000000e+00, -4.816738367080688477e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.408369255135767162e-05
-6.434816284179687500e+02, 6.154264831542968750e+01, -8.753092885017395020e-01, 0.000000000000000000e+00, -5.043310523033142090e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.521655369491782039e-05
-6.984371337890625000e+02, 6.173614883422851562e+01, -3.326812744140625000e+00, 0.000000000000000000e+00, -5.292435884475708008e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.646217762958258390e-05
-7.152382202148437500e+02, 8.156744384765625000e+01, -3.535878181457519531e+00, 0.000000000000000000e+00, -5.541284680366516113e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.770642277027945966e-05
-7.220123901367187500e+02, 8.588597106933593750e+01, -2.392206192016601562e+00, 0.000000000000000000e+00, -5.767350196838378906e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.883675006160046905e-05
-7.378359985351562500e+02, 1.012072296142578125e+02, -1.173285484313964844e+00, 0.000000000000000000e+00, -6.015839576721191406e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.007919804076664150e-05
-7.465140380859375000e+02, 1.107170486450195312e+02, 8.154504895210266113e-01, 0.000000000000000000e+00, -6.241691112518310547e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.120845576631836593e-05
-7.542575073242187500e+02, 1.185146636962890625e+02, -5.756971359252929688e+00, 0.000000000000000000e+00, -6.489976048469543457e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.244987965445034206e-05
-7.646729125976562500e+02, 1.270295486450195312e+02, -5.277285575866699219e+00, 0.000000000000000000e+00, -6.738189458847045898e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.369094702065922320e-05
-7.768702392578125000e+02, 1.358079681396484375e+02, -3.450203418731689453e+00, 0.000000000000000000e+00, -6.963742375373840332e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.481870953692123294e-05
-7.785334472656250000e+02, 1.390196685791015625e+02, -4.102829933166503906e+00, 0.000000000000000000e+00, -7.211911678314208984e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.605955862440168858e-05
-7.796460571289062500e+02, 1.413443450927734375e+02, -7.111943721771240234e+00, 0.000000000000000000e+00, -7.460039854049682617e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.730020034709013999e-05
-7.875150146484375000e+02, 1.416080474853515625e+02, -8.116881370544433594e+00, 0.000000000000000000e+00, -7.685533165931701660e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.842766454908996820e-05
