time, ALLSE, ALLKE, ALLWK, ALLFD
0.000000000000000000e+00, 9.665595889091491699e-01, 0.000000000000000000e+00, 2.633082628250122070e+00, 1.990467160940170288e-01
3.088360926994937472e-06, 8.010414838790893555e-01, 9.855486452579498291e-02, 2.633082628250122070e+00, 2.055914551019668579e-01
6.062575721443863586e-06, 7.745688557624816895e-01, 9.883928298950195312e-02, 2.633082628250122070e+00, 2.066985219717025757e-01
9.036871233547572047e-06, 7.596419453620910645e-01, 1.067532896995544434e-01, 2.633082628250122070e+00, 2.091910541057586670e-01
1.200839506054762751e-05, 1.889251470565795898e+00, 3.426342904567718506e-01, 4.509351253509521484e+00, 2.330090552568435669e-01
1.508880541223334149e-05, 7.761976242065429688e+00, 1.582056045532226562e+00, 1.412032413482666016e+01, 3.893548548221588135e-01
1.805088504625018686e-05, 1.918622589111328125e+01, 4.803356647491455078e+00, 3.281131362915039062e+01, 5.623586773872375488e-01
2.101048085023649037e-05, 3.523923873901367188e+01, 1.199778079986572266e+01, 6.152466583251953125e+01, 8.831158876419067383e-01
2.408464388281572610e-05, 5.566304397583007812e+01, 2.710148429870605469e+01, 1.014414749145507812e+02, 1.543656945228576660e+00
2.705134647840168327e-05, 7.469847869873046875e+01, 4.951881408691406250e+01, 1.467150726318359375e+02, 2.808305501937866211e+00
3.001813820446841419e-05, 9.136370849609375000e+01, 7.712385559082031250e+01, 1.949935760498046875e+02, 4.833318710327148438e+00
3.309732346679084003e-05, 1.074860000610351562e+02, 1.074114227294921875e+02, 2.457305145263671875e+02, 8.333393096923828125e+00
3.605895835789851844e-05, 1.237903366088867188e+02, 1.335465850830078125e+02, 2.925192871093750000e+02, 1.309335231781005859e+01
3.901826494256965816e-05, 1.415058593750000000e+02, 1.547574920654296875e+02, 3.363863525390625000e+02, 1.830811500549316406e+01
4.209417238598689437e-05, 1.615308074951171875e+02, 1.722114562988281250e+02, 3.790830993652343750e+02, 2.363253402709960938e+01
4.503890886553563178e-05, 1.793005371093750000e+02, 1.849540557861328125e+02, 4.168230285644531250e+02, 2.793681526184082031e+01
4.808893936569802463e-05, 2.017388916015625000e+02, 1.947994537353515625e+02, 4.535150451660156250e+02, 3.095151901245117188e+01
5.102346767671406269e-05, 2.233933868408203125e+02, 2.048286590576171875e+02, 4.890533752441406250e+02, 3.303970718383789062e+01
5.406832133303396404e-05, 2.444500122070312500e+02, 2.171821289062500000e+02, 5.277653808593750000e+02, 3.541556930541992188e+01
5.711230187444016337e-05, 2.675517578125000000e+02, 2.313474426269531250e+02, 5.702752685546875000e+02, 3.825601959228515625e+01
6.004248643876053393e-05, 2.927398071289062500e+02, 2.472801513671875000e+02, 6.160999755859375000e+02, 4.125440979003906250e+01
6.308485171757638454e-05, 3.205591430664062500e+02, 2.678424072265625000e+02, 6.685124511718750000e+02, 4.461201477050781250e+01
6.601378845516592264e-05, 3.445725708007812500e+02, 2.915665893554687500e+02, 7.219055175781250000e+02, 4.824430465698242188e+01
