RF3, RF2, RF1, U1, U3, U2, V1, V2, V3, time
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.516397647559642792e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.258198835785151459e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.804080724716186523e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.402040308879804797e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -7.320573925971984863e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.660287120510474779e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.608437120914459229e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.804218860954279080e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.212515160441398621e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.062575721443863586e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.441304087638854980e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 7.206520422187168151e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.692976355552673340e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 8.464881830150261521e-06
-1.300457096099853516e+01, 5.346575006842613220e-02, -6.390438973903656006e-02, 0.000000000000000000e+00, -1.921775788068771362e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 9.608878826838918030e-06
-3.426787948608398438e+01, 3.511534631252288818e-01, 7.216783523559570312e+00, 0.000000000000000000e+00, -2.173345088958740234e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.086672546080080792e-05
-8.243203735351562500e+01, -6.204398870468139648e-01, 8.112462043762207031e+00, 0.000000000000000000e+00, -2.401679009199142456e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.200839506054762751e-05
-1.427843017578125000e+02, -7.431420087814331055e-01, 4.269025802612304688e+00, 0.000000000000000000e+00, -2.652749419212341309e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.326374695054255426e-05
-1.976998901367187500e+02, -1.144887566566467285e+00, 3.400977134704589844e+00, 0.000000000000000000e+00, -2.880958020687103271e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.440478990843985230e-05
-2.584772033691406250e+02, -8.478569388389587402e-01, 5.015955924987792969e+00, 0.000000000000000000e+00, -3.131769597530364990e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.565884849696885794e-05
-3.333230895996093750e+02, -1.996661305427551270e+00, 3.176559448242187500e+00, 0.000000000000000000e+00, -3.382352292537689209e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.691176112217362970e-05
-4.066479187011718750e+02, 1.276768803596496582e+00, 3.921144723892211914e+00, 0.000000000000000000e+00, -3.610177040100097656e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.805088504625018686e-05
-4.809072875976562500e+02, 6.812930107116699219e-01, 7.435528278350830078e+00, 0.000000000000000000e+00, -3.860579431056976318e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.930289727170020342e-05
-5.439883422851562500e+02, 6.960209846496582031e+00, 2.938799142837524414e+00, 0.000000000000000000e+00, -4.088402390480041504e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.044201210082974285e-05
-6.076668701171875000e+02, 1.058824920654296875e+01, 7.130817890167236328e+00, 0.000000000000000000e+00, -4.338729679584503174e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.169364779547322541e-05
-6.661082763671875000e+02, 1.710401916503906250e+01, 6.491528987884521484e+00, 0.000000000000000000e+00, -4.566334187984466553e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.283167123096063733e-05
-7.174569091796875000e+02, 2.624650573730468750e+01, 9.062880516052246094e+00, 0.000000000000000000e+00, -4.816928803920745850e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.408464388281572610e-05
-7.559240112304687500e+02, 3.284799957275390625e+01, 8.759142875671386719e+00, 0.000000000000000000e+00, -5.045087337493896484e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.522543763916473836e-05
