time, ALLSE, ALLKE, ALLWK, ALLFD
0.000000000000000000e+00, 2.093196630477905273e+00, 0.000000000000000000e+00, 1.019033050537109375e+01, 7.462586164474487305e-01
3.087358436459908262e-06, 1.349992632865905762e+00, 4.233406782150268555e-01, 1.019033050537109375e+01, 7.793607115745544434e-01
6.060958185116760433e-06, 1.360095381736755371e+00, 3.233592212200164795e-01, 1.019033050537109375e+01, 7.851922512054443359e-01
9.034729373524896801e-06, 1.350007772445678711e+00, 3.327814936637878418e-01, 1.019033050537109375e+01, 7.998899817466735840e-01
1.200854148919461295e-05, 1.689219594001770020e+00, 4.195900857448577881e-01, 1.095716285705566406e+01, 8.141559362411499023e-01
1.509380945208249614e-05, 4.666100978851318359e+00, 1.060778737068176270e+00, 1.676272201538085938e+01, 8.647860288619995117e-01
1.806217187549918890e-05, 1.339308452606201172e+01, 3.355152606964111328e+00, 3.153596305847167969e+01, 1.037842392921447754e+00
2.102849794027861208e-05, 2.845272827148437500e+01, 8.676126480102539062e+00, 5.682489395141601562e+01, 1.297063231468200684e+00
2.410637898719869554e-05, 4.842381286621093750e+01, 2.119961166381835938e+01, 9.444387054443359375e+01, 1.849712014198303223e+00
2.707017301872838289e-05, 6.727595520019531250e+01, 4.213917541503906250e+01, 1.387733306884765625e+02, 2.896531820297241211e+00
3.003133861056994647e-05, 8.341233062744140625e+01, 7.109548950195312500e+01, 1.876104125976562500e+02, 4.737377166748046875e+00
3.309745079604908824e-05, 9.559497833251953125e+01, 1.067186813354492188e+02, 2.394117889404296875e+02, 8.253602981567382812e+00
3.604352605179883540e-05, 1.031130905151367188e+02, 1.423769531250000000e+02, 2.870935668945312500e+02, 1.395183753967285156e+01
3.909887527697719634e-05, 1.070464630126953125e+02, 1.776704711914062500e+02, 3.327158813476562500e+02, 2.156298446655273438e+01
4.203814023640006781e-05, 1.089921646118164062e+02, 2.031952972412109375e+02, 3.705990905761718750e+02, 2.800686645507812500e+01
4.509112477535381913e-05, 1.295946960449218750e+02, 2.103549346923828125e+02, 4.062008666992187500e+02, 3.386449050903320312e+01
4.802977127837948501e-05, 1.626487426757812500e+02, 2.011650848388671875e+02, 4.365291137695312500e+02, 3.820370864868164062e+01
5.107812103233300149e-05, 1.898341369628906250e+02, 1.971688385009765625e+02, 4.639799194335937500e+02, 4.138222503662109375e+01
5.401072849053889513e-05, 1.967402801513671875e+02, 2.133252868652343750e+02, 4.890585327148437500e+02, 4.328026199340820312e+01
5.705771764041855931e-05, 1.946070251464843750e+02, 2.423188476562500000e+02, 5.180311279296875000e+02, 4.562225723266601562e+01
6.010905053699389100e-05, 1.999626312255859375e+02, 2.672875366210937500e+02, 5.546309814453125000e+02, 4.867215347290039062e+01
6.305066926870495081e-05, 2.128993988037109375e+02, 2.922613830566406250e+02, 5.991918945312500000e+02, 5.193212127685546875e+01
6.610780110349878669e-05, 2.290625762939453125e+02, 3.212437438964843750e+02, 6.534348144531250000e+02, 5.653470230102539062e+01
6.904976180521771312e-05, 2.413858947753906250e+02, 3.574055786132812500e+02, 7.086712036132812500e+02, 6.234645843505859375e+01
7.210586045403033495e-05, 2.463717956542968750e+02, 4.018494873046875000e+02, 7.640333251953125000e+02, 6.938732147216796875e+01
7.504878885811194777e-05, 2.464907226562500000e+02, 4.441302795410156250e+02, 8.141733398437500000e+02, 7.787458038330078125e+01
7.810116221662610769e-05, 2.528953094482421875e+02, 4.758022460937500000e+02, 8.607913208007812500e+02, 8.802296447753906250e+01
8.103586151264607906e-05, 2.620327453613281250e+02, 4.944975280761718750e+02, 8.991366577148437500e+02, 9.872438812255859375e+01
8.407807035837322474e-05, 2.628211364746093750e+02, 5.177489013671875000e+02, 9.330513305664062500e+02, 1.094416885375976562e+02
8.700064790900796652e-05, 2.581291503906250000e+02, 5.419408569335937500e+02, 9.599687500000000000e+02, 1.186352386474609375e+02
9.003336890600621700e-05, 2.546071472167968750e+02, 5.619884033203125000e+02, 9.856109619140625000e+02, 1.281058654785156250e+02
9.306889114668592811e-05, 2.508553619384765625e+02, 5.812268676757812500e+02, 1.012734436035156250e+03, 1.395143432617187500e+02
9.610730194253847003e-05, 2.474808654785156250e+02, 6.023405761718750000e+02, 1.042146484375000000e+03, 1.496703491210937500e+02
9.903195314109325409e-05, 2.438586578369140625e+02, 6.260203857421875000e+02, 1.072903076171875000e+03, 1.587920989990234375e+02
1.020746276481077075e-04, 2.382109069824218750e+02, 6.545484008789062500e+02, 1.105353759765625000e+03, 1.687402496337890625e+02
1.050060382112860680e-04, 2.316377105712890625e+02, 6.835053100585937500e+02, 1.134823486328125000e+03, 1.772181701660156250e+02
1.080529254977591336e-04, 2.240127563476562500e+02, 7.118173828125000000e+02, 1.162743041992187500e+03, 1.855847015380859375e+02
1.110984158003702760e-04, 2.152414550781250000e+02, 7.367873535156250000e+02, 1.187460815429687500e+03, 1.940656127929687500e+02
1.140301319537684321e-04, 2.068236541748046875e+02, 7.575392456054687500e+02, 1.209156494140625000e+03, 2.018424072265625000e+02
1.170752730104140937e-04, 2.003368835449218750e+02, 7.804347534179687500e+02, 1.232662841796875000e+03, 2.085389251708984375e+02
1.200113983941264451e-04, 1.927793273925781250e+02, 8.046811523437500000e+02, 1.255716918945312500e+03, 2.154593200683593750e+02
1.230598427355289459e-04, 1.849626617431640625e+02, 8.263778076171875000e+02, 1.277409057617187500e+03, 2.234740142822265625e+02
1.261107827303931117e-04, 1.749180755615234375e+02, 8.474562377929687500e+02, 1.296870483398437500e+03, 2.322669067382812500e+02
1.290482323383912444e-04, 1.655248565673828125e+02, 8.659121093750000000e+02, 1.314862670898437500e+03, 2.413892211914062500e+02
1.320999872405081987e-04, 1.567045593261718750e+02, 8.842830200195312500e+02, 1.333562622070312500e+03, 2.508234558105468750e+02
1.350402890238910913e-04, 1.480964508056640625e+02, 9.015438842773437500e+02, 1.350289306640625000e+03, 2.595530700683593750e+02
1.380986068397760391e-04, 1.358942565917968750e+02, 9.217817993164062500e+02, 1.366522705078125000e+03, 2.682354431152343750e+02
1.410446420777589083e-04, 1.277740707397460938e+02, 9.377429809570312500e+02, 1.380559326171875000e+03, 2.758099670410156250e+02
1.441032654838636518e-04, 1.222087402343750000e+02, 9.491018676757812500e+02, 1.392612915039062500e+03, 2.828782348632812500e+02
1.470487623009830713e-04, 1.154392089843750000e+02, 9.594385986328125000e+02, 1.402806518554687500e+03, 2.895191345214843750e+02
1.501105289207771420e-04, 1.081336212158203125e+02, 9.695509033203125000e+02, 1.412889038085937500e+03, 2.966795349121093750e+02
1.530610461486503482e-04, 1.018098373413085938e+02, 9.779402465820312500e+02, 1.421636474609375000e+03, 3.036478576660156250e+02
1.560141972731798887e-04, 9.638829803466796875e+01, 9.847289428710937500e+02, 1.429133300781250000e+03, 3.102329406738281250e+02
1.590846077306196094e-04, 9.267241668701171875e+01, 9.896135253906250000e+02, 1.435690063476562500e+03, 3.166527099609375000e+02
1.620438124518841505e-04, 8.778378295898437500e+01, 9.939366455078125000e+02, 1.440112060546875000e+03, 3.223622741699218750e+02
1.650011399760842323e-04, 8.347650146484375000e+01, 9.966007690429687500e+02, 1.443313598632812500e+03, 3.280315551757812500e+02
1.680712157394737005e-04, 7.827886199951171875e+01, 9.994859619140625000e+02, 1.446192504882812500e+03, 3.335390014648437500e+02
1.710327051114290953e-04, 7.436331939697265625e+01, 1.000472839355468750e+03, 1.448105102539062500e+03, 3.386415100097656250e+02
1.741099404171109200e-04, 6.922440338134765625e+01, 1.001327514648437500e+03, 1.449017944335937500e+03, 3.439291992187500000e+02
1.770730013959109783e-04, 6.324383544921875000e+01, 1.003024353027343750e+03, 1.449433959960937500e+03, 3.488507690429687500e+02
1.800340833142399788e-04, 5.992688751220703125e+01, 1.001772705078125000e+03, 1.449571533203125000e+03, 3.533715820312500000e+02
1.831105473684147000e-04, 5.505622100830078125e+01, 1.001799560546875000e+03, 1.449575317382812500e+03, 3.583206787109375000e+02
1.860722404671832919e-04, 4.964989089965820312e+01, 1.002154846191406250e+03, 1.449575927734375000e+03, 3.632765502929687500e+02
1.890335552161559463e-04, 4.464879989624023438e+01, 1.002719299316406250e+03, 1.449887084960937500e+03, 3.679531860351562500e+02
1.921091316035017371e-04, 4.103589630126953125e+01, 1.002578918457031250e+03, 1.450647705078125000e+03, 3.723143310546875000e+02
1.950661826413124800e-04, 4.030850982666015625e+01, 1.000460876464843750e+03, 1.451237426757812500e+03, 3.761490783691406250e+02
1.980276574613526464e-04, 3.850287628173828125e+01, 9.987798461914062500e+02, 1.451395996093750000e+03, 3.797871398925781250e+02
2.011032338486984372e-04, 3.832446670532226562e+01, 9.958531494140625000e+02, 1.451395996093750000e+03, 3.831923522949218750e+02
2.040655381279066205e-04, 3.865475845336914062e+01, 9.922131347656250000e+02, 1.451395996093750000e+03, 3.864072265625000000e+02
2.070270711556077003e-04, 3.860261535644531250e+01, 9.889118652343750000e+02, 1.451395996093750000e+03, 3.895378723144531250e+02
2.101017016684636474e-04, 3.851398468017578125e+01, 9.852948608398437500e+02, 1.451395996093750000e+03, 3.927225952148437500e+02
2.130607899744063616e-04, 3.714095306396484375e+01, 9.835648193359375000e+02, 1.451395996093750000e+03, 3.957341308593750000e+02
2.160174044547602534e-04, 3.670014572143554688e+01, 9.809088745117187500e+02, 1.451395996093750000e+03, 3.985884399414062500e+02
2.190866798628121614e-04, 3.766983413696289062e+01, 9.767534179687500000e+02, 1.451395996093750000e+03, 4.015241088867187500e+02
2.220427850261330605e-04, 3.730707550048828125e+01, 9.740748291015625000e+02, 1.451395996093750000e+03, 4.043327941894531250e+02
2.250005636597052217e-04, 3.707387161254882812e+01, 9.712784423828125000e+02, 1.451395996093750000e+03, 4.072369995117187500e+02
2.280729822814464569e-04, 3.665422439575195312e+01, 9.685111694335937500e+02, 1.451395996093750000e+03, 4.102998352050781250e+02
2.310322597622871399e-04, 3.651540374755859375e+01, 9.660320434570312500e+02, 1.451395996093750000e+03, 4.128874206542968750e+02
2.341056242585182190e-04, 3.488750457763671875e+01, 9.646967773437500000e+02, 1.451395996093750000e+03, 4.157857360839843750e+02
2.370657457504421473e-04, 3.357217407226562500e+01, 9.633861083984375000e+02, 1.451395996093750000e+03, 4.184560546875000000e+02
2.400261873845010996e-04, 3.381707763671875000e+01, 9.604362182617187500e+02, 1.451395996093750000e+03, 4.210196838378906250e+02
2.431008761050179601e-04, 3.339381790161132812e+01, 9.582390747070312500e+02, 1.451395996093750000e+03, 4.236769104003906250e+02
2.460616815369576216e-04, 3.256272506713867188e+01, 9.565295410156250000e+02, 1.451395996093750000e+03, 4.262182617187500000e+02
2.490231127012521029e-04, 3.126840591430664062e+01, 9.551853027343750000e+02, 1.451395996093750000e+03, 4.288209533691406250e+02
2.520928974263370037e-04, 3.134704589843750000e+01, 9.529632568359375000e+02, 1.451395996093750000e+03, 4.311808166503906250e+02
2.550471690483391285e-04, 3.119293403625488281e+01, 9.507311401367187500e+02, 1.451395996093750000e+03, 4.332583618164062500e+02
2.580048458185046911e-04, 3.009226608276367188e+01, 9.496738281250000000e+02, 1.451395996093750000e+03, 4.353563232421875000e+02
2.610786177683621645e-04, 2.953635406494140625e+01, 9.480730590820312500e+02, 1.451395996093750000e+03, 4.374546203613281250e+02
2.640403690747916698e-04, 2.889689636230468750e+01, 9.465928344726562500e+02, 1.451395996093750000e+03, 4.394217529296875000e+02
2.670025278348475695e-04, 2.804764366149902344e+01, 9.452803344726562500e+02, 1.451395996093750000e+03, 4.414036560058593750e+02
2.700797922443598509e-04, 2.764707374572753906e+01, 9.436654663085937500e+02, 1.451395996093750000e+03, 4.434631042480468750e+02
2.730457636062055826e-04, 2.697260475158691406e+01, 9.423383178710937500e+02, 1.451395996093750000e+03, 4.454166259765625000e+02
2.760128118097782135e-04, 2.658389472961425781e+01, 9.407149658203125000e+02, 1.451395996093750000e+03, 4.472297363281250000e+02
2.790951984934508801e-04, 2.647115325927734375e+01, 9.389482421875000000e+02, 1.451395996093750000e+03, 4.491292724609375000e+02
2.820642257574945688e-04, 2.548727798461914062e+01, 9.382679443359375000e+02, 1.451395996093750000e+03, 4.508705444335937500e+02
2.850332239177078009e-04, 2.525536727905273438e+01, 9.367675170898437500e+02, 1.451395996093750000e+03, 4.525487670898437500e+02
2.880027750506997108e-04, 2.546017265319824219e+01, 9.348600463867187500e+02, 1.451395996093750000e+03, 4.541610412597656250e+02
2.910864714067429304e-04, 2.566127014160156250e+01, 9.327505493164062500e+02, 1.451395996093750000e+03, 4.559421386718750000e+02
2.940564590971916914e-04, 2.539801216125488281e+01, 9.313505859375000000e+02, 1.451395996093750000e+03, 4.575968322753906250e+02
