RF3, RF2, RF1, U1, U3, U2, V1, V2, V3, time
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.515848539769649506e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.257924282072053757e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.802404716610908508e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.401202209512121044e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -7.318393141031265259e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.659196636363049038e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.605874866247177124e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.802937382919481024e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.212191656231880188e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.060958185116760433e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.440933495759963989e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 7.204667326732305810e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.692563742399215698e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 8.462819096166640520e-06
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.921330243349075317e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 9.606651474314276129e-06
-1.635790252685546875e+01, 5.285264849662780762e-01, 2.423311471939086914e+00, 0.000000000000000000e+00, -2.172946631908416748e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.086473275790922344e-05
-3.630562591552734375e+01, 2.959713935852050781e-01, 6.365648746490478516e+00, 0.000000000000000000e+00, -2.401708215475082397e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.200854148919461295e-05
-8.106845855712890625e+01, 2.420933172106742859e-02, 4.564166069030761719e+00, 0.000000000000000000e+00, -2.653318643569946289e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.326659275946440175e-05
-1.364522247314453125e+02, -2.030385971069335938e+00, 9.154331684112548828e-01, 0.000000000000000000e+00, -2.881701886653900146e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.440850974177010357e-05
-1.915627288818359375e+02, -1.434437036514282227e+00, -7.527596950531005859e-01, 0.000000000000000000e+00, -3.133001029491424561e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.566500577609986067e-05
-2.625713500976562500e+02, -6.553057432174682617e-01, 5.710578560829162598e-01, 0.000000000000000000e+00, -3.361413478851318359e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.680706736806314439e-05
-3.370345764160156250e+02, -5.692461133003234863e-01, 7.667903900146484375e-01, 0.000000000000000000e+00, -3.612434267997741699e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.806217187549918890e-05
-4.050733642578125000e+02, 1.326035857200622559e+00, 1.380133390426635742e+00, 0.000000000000000000e+00, -3.840658962726593018e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 1.920329486893024296e-05
-4.710217590332031250e+02, 2.775492668151855469e+00, -4.731357574462890625e+00, 0.000000000000000000e+00, -4.091596603393554688e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.045798282779287547e-05
-5.589877319335937500e+02, 4.950325965881347656e+00, -2.252927541732788086e+00, 0.000000000000000000e+00, -4.342383444309234619e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.171191590605303645e-05
-6.344689331054687500e+02, 1.104231452941894531e+01, 1.827919960021972656e+00, 0.000000000000000000e+00, -4.570514261722564697e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.285257141920737922e-05
-6.923381347656250000e+02, 1.764883995056152344e+01, 3.160491943359375000e+00, 0.000000000000000000e+00, -4.821275770664215088e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.410637898719869554e-05
-7.423188476562500000e+02, 2.522321891784667969e+01, 3.197854280471801758e+00, 0.000000000000000000e+00, -5.049113631248474121e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.524556839489378035e-05
-7.750218505859375000e+02, 3.490705871582031250e+01, 5.718346595764160156e+00, 0.000000000000000000e+00, -5.299980640411376953e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.649990346981212497e-05
-8.119974975585937500e+02, 4.618460464477539062e+01, 2.918314933776855469e+00, 0.000000000000000000e+00, -5.528045892715454102e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.764022974588442594e-05
-8.316491699218750000e+02, 6.012695312500000000e+01, 7.440143108367919922e+00, 0.000000000000000000e+00, -5.778688788414001465e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 2.889344432333018631e-05
-8.435701904296875000e+02, 7.301033020019531250e+01, 3.586282253265380859e+00, 0.000000000000000000e+00, -6.006267666816711426e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.003133861056994647e-05
-8.477879638671875000e+02, 8.395555877685546875e+01, 5.376184582710266113e-01, 0.000000000000000000e+00, -6.256288886070251465e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.128144453512504697e-05
-8.416738281250000000e+02, 8.902006530761718750e+01, 3.092131912708282471e-01, 0.000000000000000000e+00, -6.483359932899475098e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.241679951315745711e-05
-8.262431640625000000e+02, 8.713750457763671875e+01, 1.232998967170715332e+00, 0.000000000000000000e+00, -6.732855439186096191e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.366427699802443385e-05
-8.014694824218750000e+02, 8.111576843261718750e+01, 2.326727151870727539e+00, 0.000000000000000000e+00, -6.982176303863525391e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.491088136797770858e-05
-7.804627075195312500e+02, 7.092607879638671875e+01, 6.319379210472106934e-01, 0.000000000000000000e+00, -7.208705544471740723e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.604352605179883540e-05
-7.551798095703125000e+02, 6.076356124877929688e+01, 1.950046271085739136e-01, 0.000000000000000000e+00, -7.457752823829650879e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.728876254172064364e-05
-7.280014038085937500e+02, 4.919600296020507812e+01, 1.206719756126403809e+00, 0.000000000000000000e+00, -7.684034109115600586e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.842017031274735928e-05
-7.045125122070312500e+02, 3.684523773193359375e+01, 5.517531871795654297e+00, 0.000000000000000000e+00, -7.932853102684020996e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 3.966426447732374072e-05
-6.060084838867187500e+02, 3.627581024169921875e+01, 1.589155793190002441e-01, 0.000000000000000000e+00, -8.181539177894592285e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.090769652975723147e-05
-6.050944213867187500e+02, 2.134024429321289062e+01, 2.047348618507385254e-01, 0.000000000000000000e+00, -8.407627940177917480e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.203814023640006781e-05
-5.902411499023437500e+02, 8.458930015563964844e+00, -2.336475372314453125e+00, 0.000000000000000000e+00, -8.656344413757324219e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.328172144596464932e-05
-5.645496215820312500e+02, -3.110852718353271484e+00, -9.552881717681884766e-01, 0.000000000000000000e+00, -8.882518410682678223e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.441259079612791538e-05
-5.344467773437500000e+02, -8.791261672973632812e+00, 8.871686458587646484e-01, 0.000000000000000000e+00, -9.131242632865905762e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.565621566143818200e-05
-5.047566528320312500e+02, -1.561546611785888672e+01, -6.479596495628356934e-01, 0.000000000000000000e+00, -9.379904866218566895e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.689952402259223163e-05
-4.805884704589843750e+02, -2.242343139648437500e+01, -1.208204388618469238e+00, 0.000000000000000000e+00, -9.605953693389892578e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.802977127837948501e-05
-4.568519592285156250e+02, -3.364007568359375000e+01, -2.616171836853027344e+00, 0.000000000000000000e+00, -9.854437112808227539e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 4.927218833472579718e-05
-4.332470397949218750e+02, -3.776816940307617188e+01, -3.008418321609497070e+00, 0.000000000000000000e+00, -1.008022427558898926e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.040112228016369045e-05
-4.236660156250000000e+02, -4.428138351440429688e+01, -5.717761039733886719e+00, 0.000000000000000000e+00, -1.032844662666320801e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.164223330211825669e-05
-4.238753356933593750e+02, -5.137740325927734375e+01, -8.166279792785644531e+00, 0.000000000000000000e+00, -1.057658433914184570e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.288292231853120029e-05
-4.405648803710937500e+02, -4.539125823974609375e+01, -4.403381824493408203e+00, 0.000000000000000000e+00, -1.080214619636535645e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.401072849053889513e-05
-4.662200012207031250e+02, -3.002310371398925781e+01, -4.743687152862548828e+00, 0.000000000000000000e+00, -1.105033874511718750e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.525169399334117770e-05
-5.008213500976562500e+02, -1.891800308227539062e+01, 4.981046915054321289e-02, 0.000000000000000000e+00, -1.129862070083618164e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.649309969157911837e-05
-5.445075683593750000e+02, -1.567663478851318359e+01, -8.625212311744689941e-02, 0.000000000000000000e+00, -1.152449488639831543e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.762247019447386265e-05
-6.173317871093750000e+02, -1.626778602600097656e+01, 1.740776181221008301e+00, 0.000000000000000000e+00, -1.177310228347778320e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 5.886551298317499459e-05
-6.833297729492187500e+02, -1.801191520690917969e+01, 5.629529356956481934e-01, 0.000000000000000000e+00, -1.202180981636047363e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.010905053699389100e-05
-7.374902954101562500e+02, -1.994575881958007812e+01, -2.287055253982543945e+00, 0.000000000000000000e+00, -1.224799990653991699e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.124000356066972017e-05
-8.053462524414062500e+02, -1.859576606750488281e+01, -4.679694652557373047e+00, 0.000000000000000000e+00, -1.249695062637329102e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.248475256143137813e-05
-8.507577514648437500e+02, -1.004395198822021484e+01, -6.316131114959716797e+00, 0.000000000000000000e+00, -1.272331595420837402e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.361657870002090931e-05
-9.040261230468750000e+02, -1.595642757415771484e+01, -1.677257776260375977e+00, 0.000000000000000000e+00, -1.297244548797607422e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.486222991952672601e-05
-9.339123535156250000e+02, -2.590201377868652344e+01, -1.134425282478332520e+00, 0.000000000000000000e+00, -1.322155952453613281e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.610780110349878669e-05
-9.399927368164062500e+02, -3.914992904663085938e+01, -1.202495694160461426e+00, 0.000000000000000000e+00, -1.344790577888488770e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.723953265463933349e-05
-9.372101440429687500e+02, -5.064879608154296875e+01, -4.572031974792480469e+00, 0.000000000000000000e+00, -1.369683742523193359e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.848418706795200706e-05
-9.277132568359375000e+02, -5.142719650268554688e+01, -6.530086994171142578e+00, 0.000000000000000000e+00, -1.392308115959167480e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 6.961540202610194683e-05
-8.963436279296875000e+02, -4.911125946044921875e+01, -2.990588665008544922e+00, 0.000000000000000000e+00, -1.417211413383483887e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+04, 7.086056575644761324e-05
